"id","role","organization","start_date","end_date","duration","category","description","responsibilities","skills_gained","external_link","logo_url","sort_order"
"1","Volunteer","Agami Education Foundation (AEF)","2024-02-01","","2 yrs 7 mos","Education","Agami is a US-registered non-profit supporting quality education for underprivileged children in Bangladesh.
- Working in ""Library Project"" specifically for underprivileged children to guide them in speaking and writing.
- Evaluated students of AAlok Shikkhaloy in March 2024.
- Distributed books for AAlok Shikkhaloy in June 2024.
- Judged IET DRAMA FEST & LIBRARY FEST 2024 in December 2024.","-> Working in ""Library Project"" specifically for underprivileged children in speaking and writing.
-> Evaluated students of AAlok Shikkhaloy in March 2024.
-> Distributed books for AAlok Shikkhaloy in June 2024.
-> Judged IET DRAMA FEST & LIBRARY FEST 2024 in December 2024.","Teaching & Mentoring, Communication (Speaking & Writing Guidance), Student Evaluation & Assessment, Public Speaking, Leadership & Decision-Making (as a judge), Community Engagement","https://www.agami.org/","/images/AEF.jpg","1"
"2","Volunteer","FOLV - Forum Of Liberal Volunteers","2022-12-01","2024-01-31","1 yr 2 mos","Fundraising","FOLV runs different humanitarian projects especially during the winter season. It fundraises and distributes aid for underprivileged communities.
- Supported ""USHNOTA"" project, raising funds and distributing warm clothes for underprivileged people.","-> Supported ""USHNOTA"" project, raising funds for winter clothing.","Fundraising & Donor Engagement, Humanitarian Relief, Community Service & Social Responsibility, Communication & Outreach, Teamwork & Collaboration","https://www.gofundme.com/u/folvngo","/images/FOLV.jpg","2"
"3","Volunteer","Evolution 360","2020-10-01","2023-12-31","3 yrs 3 mos","Social Impact","Evolution 360 is a youth-based community organization operating both locally and internationally, replicating the #HeForShe campaign and creating volunteering opportunities for youth.
- Created campaign content and messaging.
- Worked on multiple community projects.
- Served as online in-charge for project ""শ্রেয়সী"".
- Joined Project YED by Manusher Jonno Foundation (MJF).","-> Created campaign content and messaging.
-> Worked on multiple community projects.
-> Served as online in-charge for project ""শ্রেয়সী"".
-> Joined Project YED by Manusher Jonno Foundation.","Content Writing & Campaign Messaging, Social Media Management, Project Coordination & Team Collaboration, Leadership & Responsibility, Youth Advocacy & Community Engagement","https://www.linkedin.com/company/evolution-360-non-profit","/images/E360.png","3"
