"id","job_title","company","location","start_date","end_date","employment_type","description","skills_used","external_link","logo_url","sort_order"
"1","Lecturer in Department of Computer Science and Engineering (CSE)","Stamford University Bangladesh","Dhaka, Bangladesh","2026-09-09","","Full-time","- Teach undergraduate courses totaling 30 credits, developing course materials, assessments, and hands-on activities aligned with outcome-based education (OBE) objectives.
- Support student learning and academic development through project supervision, practical instruction, workshops, seminars, and curriculum enhancement.","Outcome-Based Education (OBE), Curriculum Enhancement, Teaching, Project Supervision","https://www.stamforduniversity.edu.bd/","/images/undergrad.jpeg","1"
"2","Research Assistant","Bangladesh University of Engineering and Technology (BUET)","Dhaka, Bangladesh","2026-09-01","","Research","Supervisors: Dr. Sadia Sharmin, Dr. Atif Hasan Rahman
- Work under UGC-ICSETEP Research and Development Grant (RDG) project on Graph Machine Learning and Networks, focusing on GNN–LLM integration.
- Contributed to research on patient-specific clinical deterioration pathway discovery from irregular longitudinal ICU data by developing multimodal, continuous-time event graphs to identify dynamic clinical relationships and validate their necessity for mortality prediction.","Graph Machine Learning, GNN-LLM Integration, Multimodal Event Graphs, ICU Deterioration Pathways","https://buet.ac.bd/","/images/undergrad.jpeg","2"
"3","Visiting Scholar under SRI program (In person)","School of Computing, National University of Singapore","Singapore","2026-06-18","2026-08-31","Fellowship","- Developed ContiFuse-MM, a continuous-time multimodal for short-term ICU mortality prediction using irregular EHR time-series and chest X-ray data from MIMIC-IV and MIMIC-CXR.
- Designed SHAP-based explainability analysis to surface important physiological features, modality contributions, and horizon-specific temporal patterns.","Multimodal AI, Continuous-Time Modeling, MIMIC-IV, SHAP Explainability","https://www.comp.nus.edu.sg/","/images/fahmida_with_purdue.jpeg","3"
"4","Student Researcher","Biomedical Science and Engineering Research Center (BIOSE)","Dhaka, Bangladesh","2024-07-13","","Research","Supervisors: Dr. Md. Golam Rabiul Alam, Dr. Md Rakibul Hasan, Md. Mehedi Hasan Shawon
- Led research on context-driven sequential transfer learning for abstractive radiology report summarization, published in ACL 2025 Findings as the first author.
- Investigated selective visual attention to high-importance regions for multimodal radiology summarization; manuscript submitted to ACL ARR in March 2026.
- Developed a foundation model for robust epilepsy detection, focusing on Asian demographic data; manuscript currently in preparation for journal submission.","Radiology Report Summarization, Visual Attention, Foundation Models, Natural Language Processing (NLP)","https://www.bioserc.com/","/images/research_1.jpg","4"
"5","Founder & Chief Executive Officer","PinkLifeLine","Dhaka, Bangladesh","2024-05-17","","Full-time","- Founded and lead PinkLifeLine, developing an LED-based deep learning framework for early breast cancer detection and risk prediction using longitudinal spatiotemporal imaging.
- Directed planning and execution across four flagship initiatives – Bright Beginnings, PinkTalks, PinkSpark, and Research for Hope – reaching 243 school students with sanitary product distribution and over 500,000 people community-wide.","Startup Leadership, Deep Learning, Spatiotemporal Imaging, Public Health Initiatives","https://www.pinklifeline.com/","/images/fahmida_with_lal_background.jpeg","5"
"6","Senior Human Resources Coordinator","Esolumate","Dhaka, Bangladesh","2022-12-16","2024-02-04","Part-time","- Contributed to the design of an AI-based skill-sharing platform.
- Managed member onboarding, work distribution, and performance reporting.","Human Resources, Team Onboarding, Operations, AI Platform Design","https://www.facebook.com/esolumate","/images/Banglalink.jpeg","6"
